Test 34, loss: 0.842111, test acc: 0.899510, test avg acc: 0.841561, test iou: 0.751414
Train 35, loss: 0.801958, train acc: 0.931698, train avg acc: 0.898307, train iou: 0.809141
Test 35, loss: 0.896524, test acc: 0.858633, test avg acc: 0.761615, test iou: 0.670901
Train 36, loss: 0.798969, train acc: 0.933998, train avg acc: 0.901568, train iou: 0.813833
Test 36, loss: 0.840842, test acc: 0.899652, test avg acc: 0.831015, test iou: 0.736745
Train 37, loss: 0.799922, train acc: 0.933561, train avg acc: 0.899651, train iou: 0.813649
Test 37, loss: 0.820681, test acc: 0.915055, test avg acc: 0.862432, test iou: 0.779547
Train 38, loss: 0.798116, train acc: 0.935060, train avg acc: 0.903107, train iou: 0.817397
Test 38, loss: 0.828596, test acc: 0.911226, test avg acc: 0.834849, test iou: 0.765723
Train 39, loss: 0.799279, train acc: 0.933983, train avg acc: 0.902492, train iou: 0.816116
Test 39, loss: 0.821401, test acc: 0.915376, test avg acc: 0.856011, test iou: 0.774775
Train 40, loss: 0.797758, train acc: 0.935475, train avg acc: 0.903135, train iou: 0.819983
Test 40, loss: 0.854883, test acc: 0.889451, test avg acc: 0.825865, test iou: 0.730169
Train 41, loss: 0.797774, train acc: 0.935228, train avg acc: 0.902182, train iou: 0.817295
Test 41, loss: 0.837652, test acc: 0.905870, test avg acc: 0.851156, test iou: 0.759629
Train 42, loss: 0.797961, train acc: 0.935268, train avg acc: 0.903745, train iou: 0.818395
Test 42, loss: 0.860632, test acc: 0.884024, test avg acc: 0.872168, test iou: 0.722391
Train 43, loss: 0.797139, train acc: 0.935608, train avg acc: 0.903739, train iou: 0.820810
Test 43, loss: 0.831338, test acc: 0.908778, test avg acc: 0.836972, test iou: 0.759886
Train 44, loss: 0.796682, train acc: 0.936308, train avg acc: 0.904476, train iou: 0.819873
Test 44, loss: 0.832805, test acc: 0.906825, test avg acc: 0.864146, test iou: 0.764867
Train 45, loss: 0.795353, train acc: 0.937569, train avg acc: 0.906938, train iou: 0.823452
Test 45, loss: 0.848939, test acc: 0.899077, test avg acc: 0.789854, test iou: 0.734356
Train 46, loss: 0.796762, train acc: 0.936138, train avg acc: 0.904322, train iou: 0.819729
Test 46, loss: 0.948142, test acc: 0.811962, test avg acc: 0.876182, test iou: 0.628906
Train 47, loss: 0.796846, train acc: 0.935608, train avg acc: 0.904408, train iou: 0.822844
Test 47, loss: 0.876543, test acc: 0.867976, test avg acc: 0.887137, test iou: 0.713382
